treatment	dpi	mean	sd	n	l95	u95
control ASO	163	21.2545454545455	2.20379837388253	11	19.9521838412057	22.5569070678852
control ASO	168	19.1428571428571	1.58309522019065	7	17.9700837916365	20.3156304940778
control ASO	175	21.4	2.98663690461362	3	18.0203021831333	24.7796978168667
control ASO	187	22	5.09116882454314	2	14.944	29.056
control ASO	189	21	6.08111831820431	2	12.572	29.428
no treatment	126	23.4055555555556	3.07025046347961	18	21.9871722060794	24.8239389050317
no treatment	139	22.6882352941176	2.08203096547013	17	21.6985005982693	23.677969989966
no treatment	143	23.675	1.78344236426823	16	22.8011132415086	24.5488867584914
no treatment	147	23.35	1.49041381278266	16	22.6196972317365	24.0803027682635
no treatment	155	19.8933333333333	2.98076372444251	15	18.384858760204	21.4018079064627
no treatment	163	22.6875	1.36427636496422	8	21.7421047123028	23.6328952876972
no treatment	168	20.275	2.52459331944205	8	18.5255460852026	22.0244539147974
no treatment	175	22.1	0.871779788708135	3	21.113488300458	23.086511699542
saline	-13	20.15	1.26527036277196	12	19.4341058991468	20.8658941008532
saline	126	22.2166666666667	1.45466855539694	12	21.3936104502674	23.039722883066
saline	139	21.9416666666667	2.03981208284816	12	20.7875343326406	23.0957990006927
saline	143	22.675	1.21215435560748	12	21.9891591093608	23.3608408906392
saline	147	22.175	1.17173143059941	12	21.512030532263	22.837969467737
saline	155	19.5333333333333	1.59050211244656	12	18.633422047021	20.4332446196457
saline	163	20.5363636363636	1.53380098270456	11	19.6299451790081	21.4427820937191
saline	168	17.7181818181818	2.63280009944476	11	16.1622963861252	19.2740672502384
uninfected	126	23.6266666666667	1.87291471343719	15	22.6788410474495	24.5744922858839
uninfected	139	24.58	2.03266187195861	15	23.5513311644006	25.6086688355994
uninfected	147	25.68	2.20103871582747	15	24.5661207246743	26.7938792753256
uninfected	155	24.32	1.95272703088344	15	23.3317837753474	25.3082162246526
uninfected	163	25.9733333333333	2.22115371136799	15	24.8492744657567	27.09739220091
uninfected	168	25.5933333333333	2.11304339305949	15	24.5239858355053	26.6626808311614
uninfected	175	26.38	2.16801423295275	15	25.2828334189073	27.4771665810927
uninfected	187	25.86	2.14102779057162	15	24.7764904430509	26.9435095569491
uninfected	189	26.4733333333333	2.10049880697306	15	25.410334271977	27.5363323946897
uninfected	193	26.5333333333333	2.06143731641877	15	25.4901021136233	27.5765645530434
uninfected	195	27.3133333333333	2.16130472058849	15	26.2195622339813	28.4071044326854
uninfected	197	26.9266666666667	2.17500957852297	15	25.8259599522731	28.0273733810603
uninfected	199	26.7733333333333	2.28862612145574	15	25.6151287150651	27.9315379516015
uninfected	201	27.3733333333333	2.3365012508531	15	26.1909005567616	28.5557661099051
uninfected	203	27.3066666666667	2.39447777386298	15	26.0948937213047	28.5184396120286
uninfected	205	27.3133333333333	2.30368235244193	15	26.1475092109013	28.4791574557654
uninfected	207	27.0933333333333	2.34839357454247	15	25.9048822106063	28.2817844560604
uninfected	209	27.8933333333333	2.4355892999632	15	26.6607550851974	29.1259115814692
uninfected	211	28.0133333333333	2.46340840145944	15	26.766676677402	29.2599899892646
uninfected	213	27.86	2.36244425482229	15	26.664438251978	29.055561748022
uninfected	215	28.1333333333333	2.44501436357647	15	26.8959853449144	29.3706813217523
uninfected	217	28.3733333333333	2.49240751846387	15	27.1120010993662	29.6346655673004
uninfected	219	28.4266666666667	2.41881513693516	15	27.2025773162605	29.6507560170728
uninfected	221	28.4066666666667	2.54262706289231	15	27.1199198366941	29.6934134966392
uninfected	223	28.6466666666667	2.49824700444894	15	27.3823792450554	29.9109540882779
uninfected	225	28.6333333333333	2.37627158941621	15	27.4307739885284	29.8358926781383
uninfected	231	28.3533333333333	2.84952794753965	15	26.9112732267112	29.7953934399555
uninfected	233	28.3333333333333	2.89301292937377	15	26.8692667896119	29.7973998770548
uninfected	235	28.44	3.04555882744507	15	26.8987345805043	29.9812654194957
uninfected	237	28.5866666666667	2.92595934613557	15	27.1059269356163	30.067406397717
uninfected	239	28.5666666666667	2.82505794293717	15	27.1369900909646	29.9963432423687
uninfected	241	28.84	2.87223158636526	15	27.3864502668754	30.2935497331246
uninfected	243	29.1	2.87029117487607	15	27.647432250576	30.552567749424
uninfected	245	28.8533333333333	3.03782503649913	15	27.3159817520597	30.3906849146069
uninfected	247	29.06	3.04015977023765	15	27.5214668804345	30.5985331195655
uninfected	249	29.08	3.04213271054559	15	27.5404684348803	30.6195315651197
uninfected	251	29.1	2.98520159644681	15	27.5892795537669	30.6107204462331
uninfected	253	28.4666666666667	3.09069263311332	15	26.9025603900843	30.0307729432491
uninfected	257	28.3866666666667	2.88836747431255	15	26.92495104757	29.8483822857633
uninfected	259	28.9133333333333	2.97750294870111	15	27.4065089404092	30.4201577262574
uninfected	261	28.9	2.585674822114	15	27.5914679980986	30.2085320019014
uninfected	263	30.7	2.096027989635	4	28.6458925701577	32.7541074298423
uninfected	265	29.4733333333333	3.28708873943987	15	27.8098369138067	31.1368297528599
uninfected	267	29.84	3.27802205169956	15	28.1810919575415	31.4989080424584
uninfected	269	29.5266666666667	3.33283805844351	15	27.8400178973282	31.2133154360052
uninfected	271	30.2333333333333	3.4358751571089	15	28.4945405976176	31.9721260690491
uninfected	273	31.0133333333333	3.81348484547489	15	29.0834437291216	32.943222937545
uninfected	275	30.5333333333333	3.513375801677	15	28.7553198600686	32.3113468065981
uninfected	277	30.6866666666667	3.49343602175498	15	28.9187441143157	32.4545892190176
uninfected	279	30.7733333333333	3.50274722114487	15	29.0006986639468	32.5459680027199
uninfected	281	30.74	3.37211252142375	15	29.0334756100971	32.4465243899029
uninfected	283	30.64	3.29974024951748	15	28.9701010329963	32.3098989670037
uninfected	285	30.5933333333333	3.57720295096336	15	28.7830188658689	32.4036478007978
uninfected	287	30.8533333333333	3.71961339516942	15	28.9709492374474	32.7357174292193
uninfected	289	30.7333333333333	3.76215490428152	15	28.8294202634224	32.6372464032443
uninfected	291	31.0666666666667	3.75226915472808	15	29.1677564762914	32.965576857042
uninfected	293	31.3333333333333	3.8721840766949	15	29.3737378195148	33.2929288471519
uninfected	295	31.14	3.81964845054022	15	29.2069911812583	33.0730088187417
uninfected	297	31.0133333333333	3.81348484547489	15	29.0834437291216	32.943222937545
uninfected	299	31.22	3.97926770003872	15	29.2062126957728	33.2337873042272
uninfected	301	31.34	3.90984106363125	15	29.3613474214338	33.3186525785662
uninfected	303	31.3133333333333	4.0607646476753	15	29.2583028831669	33.3683637834997
uninfected	305	31.4333333333333	4.25854882503865	15	29.2782102793576	33.5884563873091
uninfected	307	32.2666666666667	4.26893540871837	15	30.1062872761172	34.4270460572162
uninfected	309	31.8333333333333	4.32429460253621	15	29.6449383253169	34.0217283413497
uninfected	311	31.6933333333333	4.31715294190622	15	29.5085525042543	33.8781141624123
uninfected	313	32.0533333333333	3.98996359930884	15	30.034133157246	34.0725335094207
